"ID","Pathway_Name","GeneID","p.adjust","Gene_Name","Description","KO"
"01200","Carbon metabolism","KfGene041377-RA",1.50169419563927e-06,NA,"RNA methyltransferase like 1","K00140,K03437"
"01200","Carbon metabolism","KfGene041787-RA",1.50169419563927e-06,NA,"Pyruvate dehydrogenase","K00627"
"01200","Carbon metabolism","KfGene041865-RA",1.50169419563927e-06,"GND","Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH (By similarity)","K00033"
"01200","Carbon metabolism","KfGene041874-RA",1.50169419563927e-06,"GND","Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH (By similarity)","K00033"
"01200","Carbon metabolism","KfGene042251-RA",1.50169419563927e-06,"AOAT2","alanine aminotransferase","K14272"
"01200","Carbon metabolism","KfGene042276-RA",1.50169419563927e-06,"AOAT2","alanine aminotransferase","K14272"
"01200","Carbon metabolism","KfGene042382-RA",1.50169419563927e-06,"MDH","Malate dehydrogenase","K00026"
"01200","Carbon metabolism","KfGene042946-RA",1.50169419563927e-06,"ADH5","alcohol dehydrogenase","K00121,K13951,K13952"
"01200","Carbon metabolism","KfGene043127-RA",1.50169419563927e-06,NA,"isocitrate dehydrogenase nadp","K00031"
"01200","Carbon metabolism","KfGene043402-RA",1.50169419563927e-06,NA,"Enoyl-CoA hydratase/isomerase family","K05605"
"01200","Carbon metabolism","KfGene043437-RA",1.50169419563927e-06,NA,"3-hydroxyisobutyryl-CoA hydrolase","K05605"
